month,weekday,hour,energy
2,1,8,308.7117162754532
2,1,9,362.24391057538685
2,1,10,325.43935720998377
2,1,11,363.59131920181994
2,1,12,472.15411021885996
2,1,13,357.6620055994423
2,1,14,283.8259957497505
2,1,15,295.6362867337799
2,1,16,314.4533666686776
2,1,17,257.37827255908024
2,1,18,278.9215672475249
2,1,19,391.1263302507055
2,1,20,355.41271019757585
2,1,21,264.87602491594987
2,1,22,151.10877846775372
2,1,23,107.44358709933203
2,2,0,159.81918499070878
2,2,1,121.23274615839307
2,2,2,115.76249067772281
2,2,3,121.87166134196573
2,2,4,206.17297679394463
2,2,5,221.70317822734805
2,2,6,277.4487180994961
2,2,7,436.59905000145864
2,2,8,767.7505123068731
2,2,9,350.28863246951346
2,2,10,527.3329099408526
2,2,11,639.4183029911015
2,2,12,645.3730164389425
2,2,13,491.6013315463939
2,2,14,296.1819231844744
2,2,15,361.1592182751025
2,2,16,269.1896684230129
2,2,17,247.31055369235375
2,2,18,272.36765511299
2,2,19,229.09531443986464
2,2,20,261.9130883583626
2,2,21,216.31758269013872
2,2,22,135.6599560651802
2,2,23,111.69802022448708
2,3,0,131.57182067287394
2,3,1,107.25990148159138
2,3,2,125.17276829014673
2,3,3,125.69318940106363
2,3,4,181.85304049908356
2,3,5,149.30484868529578
2,3,6,358.3245832311061
2,3,7,389.6856228800543
2,3,8,707.5400356704322
2,3,9,322.6946221110413
2,3,10,339.7380549040844
2,3,11,330.2517010258699
2,3,12,518.2002519001475
2,3,13,477.5066149444589
2,3,14,288.922807160118
2,3,15,259.9233867500245
2,3,16,287.56533206364463
2,3,17,238.0943316225934
2,3,18,359.7478823616998
2,3,19,407.972473687533
2,3,20,353.2264284666744
2,3,21,313.9834598183148
2,3,22,139.57572459816453
2,3,23,111.24731185188749
2,4,0,114.6485165786336
2,4,1,139.37797583019335
2,4,2,112.85724633220468
2,4,3,133.6461785028635
2,4,4,133.50089235736868
2,4,5,203.46024418586444
2,4,6,288.17865156661423
2,4,7,366.0648701948435
2,4,8,364.6596328226519
2,4,9,405.24007594641745
2,4,10,357.2363299400391
2,4,11,288.6742157629017
2,4,12,535.3397156942932
2,4,13,503.0723373012547
2,4,14,428.3881007223141
2,4,15,349.04534267506347
2,4,16,377.65648949019726
2,4,17,300.16761821277964
2,4,18,253.91868217782923
2,4,19,248.6951131603771
2,4,20,261.89413148462194
2,4,21,172.85340288868952
2,4,22,135.92336427057933
2,4,23,129.3670825070691
2,5,0,140.29773463788416
2,5,1,129.5305234034845
2,5,2,141.86775987826988
2,5,3,167.2299807933984
2,5,4,135.26781789265215
2,5,5,141.70986178846098
