month,weekday,hour,energy
6,1,1,142.67551255038833
6,1,2,138.93439830359645
6,1,3,144.61790096558803
6,1,4,162.52093299738073
6,1,5,295.79917677311226
6,1,6,1151.2946056508872
6,1,7,1207.0412312117094
6,1,8,1267.7446694670311
6,1,9,1060.968364596247
6,1,10,1086.7535722056564
6,1,11,591.8446150657663
6,1,12,633.4388024662937
6,1,13,667.5294691910883
6,1,14,518.8738067161036
6,1,15,424.0580417041307
6,1,16,625.2446876606775
6,1,17,986.4680147786455
6,1,18,788.0908208577644
6,1,19,568.9163769574608
6,1,20,261.1795858408381
6,1,21,192.4609364323493
6,1,22,167.7140975403487
6,1,23,150.38170278562012
6,2,0,149.07566291024116
6,2,1,143.82102209501312
6,2,2,146.73065437470714
6,2,3,152.98218315569926
6,2,4,158.60962955390613
6,2,5,255.26544516781524
6,2,6,638.7266080488023
6,2,7,697.1345651548629
6,2,8,944.1068718793073
6,2,9,1191.6418407763244
6,2,10,1298.9705081113093
6,2,11,917.8747281763783
6,2,12,1336.3047798269756
6,2,13,1006.1221634497809
6,2,14,638.521921433884
6,2,15,700.1130488495226
6,2,16,1113.8751113625772
6,2,17,963.4296435316064
6,2,18,826.4796100822371
6,2,19,491.00216776733225
6,2,20,221.59433880658986
6,2,21,199.54657955957842
6,2,22,170.13415915156745
6,2,23,171.4669536282043
6,3,0,156.6902858738935
6,3,1,148.9876444594495
6,3,2,135.7391917579753
6,3,3,152.63344044379122
6,3,4,148.8217977611915
6,3,5,273.05940121651093
6,3,6,652.433552554161
6,3,7,985.1788109011244
6,3,8,968.2092654421564
6,3,9,991.7065680921759
6,3,10,815.8647896003058
6,3,11,812.5859299569433
6,3,12,714.169620365165
6,3,13,646.5752592274066
6,3,14,839.396422075893
6,3,15,790.735862220434
6,3,16,1041.994479853137
6,3,17,1170.5433238049307
6,3,18,1105.7732823307665
6,3,19,820.2734489833576
6,3,20,337.48939804742986
6,3,21,240.24902082983215
6,3,22,162.60039965623199
6,3,23,160.668607837958
6,4,0,149.8876800008315
6,4,1,136.69535440197473
6,4,2,134.20624366101606
6,4,3,135.597904590548
6,4,4,167.0679078500326
6,4,5,217.40988916449274
6,4,6,529.6065971258562
6,4,7,620.3355420924854
6,4,8,538.9927266097231
6,4,9,965.0865298501149
6,4,10,786.3591910116513
6,4,11,1141.4999558816885
6,4,12,1630.3053674104476
6,4,13,1472.0883590643725
6,4,14,1154.3247882151404
6,4,15,876.210674125058
6,4,16,1103.3774819425744
6,4,17,1062.8979020958009
6,4,18,994.9716823096568
6,4,19,518.4859133961088
6,4,20,266.2964145581656
6,4,21,207.14404106565394
6,4,22,162.14651061307805
6,4,23,161.32050669340794
6,5,0,146.34203787925742
6,5,1,156.80101479806547
6,5,2,148.10032529275546
6,5,3,143.510692096357
6,5,4,136.14975189393556
6,5,5,206.55111518651532
6,5,6,499.389383584875
6,5,7,519.427843630231
6,5,8,926.7200876130986
6,5,9,1222.2825595737631
6,5,10,950.8725372384268
6,5,11,844.7320093225738
6,5,12,835.3051735398947
6,5,13,951.2491745414286
6,5,14,979.0348429893463
6,5,15,983.2990250214704
6,5,16,728.6765822235303
6,5,17,466.858310702166
6,5,18,438.91101109696933
6,5,19,447.33378082250334
6,5,20,232.88050439265
6,5,21,202.57723659303392
6,5,22,168.5648724131405
6,5,23,161.14550770024164
6,6,0,152.5387673721396
6,6,1,149.72265069956978
6,6,2,152.62051942338218
6,6,3,136.77047699283787
6,6,4,139.13349821865873
6,6,5,175.2974630692451
6,6,6,398.7845075449016
6,6,7,841.1187047428781
6,6,8,879.6777777947566
6,6,9,848.1378728463318
6,6,10,954.5010723573826
6,6,11,845.4836914833386
6,6,12,795.4418159837296
6,6,13,609.5238377720709
6,6,14,699.3659804256106
6,6,15,1206.652870593611
6,6,16,1214.1265373474562
6,6,17,822.4479102077365
6,6,18,749.9984485030885
6,6,19,563.5693904733349
6,6,20,329.900155601767
6,6,21,216.2426129113544
6,6,22,157.35865533318005
6,6,23,150.82062987677753
7,0,0,135.54843791604716
7,0,1,140.57255239881573
7,0,2,137.82658839061153
7,0,3,144.82860177115072
7,0,4,179.40352376853906
7,0,5,268.8309566337018
7,0,6,635.5529214167897
7,0,7,764.1270049116404
7,0,8,429.2409360287718
7,0,9,647.5932030530572
7,0,10,676.5588843255789
7,0,11,1145.7679838686427
7,0,12,1225.4407483103619
7,0,13,1065.3254623779578
7,0,14,718.3220961520003
7,0,15,839.3481853329126
7,0,16,756.1848915397109
7,0,17,826.9162257449077
7,0,18,732.3033869605828
7,0,19,515.9955550392801
7,0,20,226.8551042886121
7,0,21,240.02941065358468
7,0,22,201.91866658946242
7,0,23,188.46123321949474
7,1,0,181.77537901476575
7,1,1,165.0343535737078
7,1,2,179.43078232764935
7,1,3,161.43984504750966
7,1,4,194.01192927913573
7,1,5,397.53783611238964
7,1,6,891.179682035942
7,1,7,958.1021977863031
7,1,8,805.4144956172629
7,1,9,659.3983423223237
7,1,10,787.7317128910221
7,1,11,1014.0688191728589
7,1,12,1164.133404568122
7,1,13,811.9069294418689
7,1,14,677.7796810228225
7,1,15,715.5104752276898
7,1,16,1080.5294718976666
7,1,17,1138.977367023559
7,1,18,917.7714989205219
7,1,19,675.2914528275504
7,1,20,322.2673918567894
7,1,21,231.69444519370262
7,1,22,216.2044323090913
7,1,23,207.46202185870672
7,2,0,189.7914954272736
7,2,1,192.60167953156937
7,2,2,184.14589515386413
7,2,3,192.2435102022233
7,2,4,209.363590648418
7,2,5,247.96719927079485
7,2,6,392.2453588508838
7,2,7,978.5643517541307
7,2,8,1737.2852728914904
7,2,9,1787.9646612246825
7,2,10,1602.351407026072
7,2,11,1208.177764324739
7,2,12,906.6036410687473
7,2,13,722.2092460401957
7,2,14,751.5182107752062
7,2,15,863.1240095460919
7,2,16,973.8879273954959
7,2,17,1094.3101683526002
7,2,18,1082.0476708706985
7,2,19,477.88303350688324
7,2,20,292.5737417273507
7,2,21,234.44412456068224
7,2,22,213.5636262051405
7,2,23,225.6061802775643
7,3,0,201.01731286795444
7,3,1,201.37361843421934
7,3,2,188.00164575564983
7,3,3,190.82804207714378
7,3,4,202.0625969932632
7,3,5,299.3037149570232
7,3,6,459.19747729384784
7,3,7,913.2778812581907
7,3,8,803.5859264799612
7,3,9,848.6571844220487
7,3,10,896.263523684866
7,3,11,1251.585440994865
7,3,12,721.1908728252915
7,3,13,620.8745863998685
7,3,14,611.9879653429363
7,3,15,801.354805534887
7,3,16,938.9620033266555
7,3,17,775.4731964752177
7,3,18,699.4223095335911
7,3,19,482.89471621980397
7,3,20,256.9725090785982
7,3,21,232.13346195984226
7,3,22,213.7476559193775
7,3,23,213.90345858682434
7,4,0,182.205482396721
7,4,1,193.6108618466517
7,4,2,180.76065902757017
7,4,3,189.5467721444508
7,4,4,213.47381633739252
7,4,5,299.5321089159252
7,4,6,600.3354228641276
7,4,7,1083.3605726756427
7,4,8,522.110390473251
7,4,9,550.5149039996234
7,4,10,589.2206972389056
7,4,11,829.5083015264702
7,4,12,1034.5807414562755
7,4,13,997.4109184577479
7,4,14,1093.6589584475437
7,4,15,1184.518339996537
7,4,16,998.374787253351
7,4,17,796.0037374538948
7,4,18,893.8894934939899
7,4,19,677.6649924494551
7,4,20,324.19972144577395
7,4,21,279.8366501684967
7,4,22,224.35946392616538
7,4,23,218.75319726998123
7,5,0,199.16453517569826
7,5,1,223.0336475219179
7,5,2,187.42574900547893
7,5,3,189.09926062407894
7,5,4,181.21405064129382
7,5,5,242.66238540309396
7,5,6,341.3983092667757
7,5,7,764.4511135005555
7,5,8,1073.9264742899838
7,5,9,746.6656734745095
7,5,10,1072.2344251837849
7,5,11,987.6448985120412
7,5,12,983.6287286604523
7,5,13,1078.191458599198
7,5,14,971.6120785266585
7,5,15,927.4084878813495
7,5,16,1417.434368648106
7,5,17,1141.4697772061347
7,5,18,1070.5047591297418
7,5,19,602.6379783239556
7,5,20,385.76558500962904
7,5,21,286.41136707243817
7,5,22,294.3034080747933
7,5,23,221.65723942270378
7,6,0,212.09435160248535
7,6,1,200.30444180245502
7,6,2,190.67797169996902
7,6,3,197.55873949565552
7,6,4,185.74267935137811
7,6,5,251.47860045782247
7,6,6,577.1388456414492
7,6,7,1231.5338472959818
7,6,8,1379.5846852457255
7,6,9,1116.603819310495
7,6,10,870.3815972906754
7,6,11,638.1905451044017
7,6,12,680.2103250800338
7,6,13,806.3994837467854
7,6,14,1065.6826541630219
7,6,15,1060.657700942113
7,6,16,1117.1999769104768
7,6,17,1020.659490718594
7,6,18,1066.1203055744347
7,6,19,646.2347377521658
7,6,20,252.53756503219267
7,6,21,190.9049898349509
7,6,22,165.01280819771398
7,6,23,164.48250592242044
8,0,0,143.19109552628947
8,0,1,143.48618211866884
8,0,2,135.60213697147668
8,0,3,150.94141302330328
8,0,4,181.2885997032185
8,0,5,249.3464001629872
8,0,6,466.2254953461378
8,0,7,701.1931157306378
8,0,8,1381.5717833888068
8,0,9,1373.7187642737044
